,Korean Name,English Name,Image Url,Explanation,Category,Factors,kcal,sat_FAT,protein,fat,trans_FAT,sodium,sugars,caffeine,cholesterol,chabo
0,씨솔트 카라멜 콜드 브루,Sea Salt Caramel Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2024/04/[9200000004544]_20240423124242041.jpg,"구름 처럼 부드러운 씨솔트 폼과 번트 카라멜의 
중독성 강한 단짠단짠 조합의 콜드 브루 
한번 맛보면 자꾸 생각나는 매력적인 음료",product_cold_brew,알레르기 유발요인 : 우유,170,6,1,8,0,160,18,130,10,22
1,나이트로 바닐라 크림,Nitro Vanilla Cream,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002487]_20210426091745609.jpg,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,product_cold_brew,알레르기 유발요인 : 우유,80,2,1,2.7,0,40,10,232,5,10
2,나이트로 콜드 브루,Nitro Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000479]_20210426091844065.jpg,"나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.
",product_cold_brew,,5,0,0,0,0,5,0,245,0,0
3,돌체 콜드 브루,Dolce Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002081]_20210415133657016.jpg,"무더운 여름철, 
동남아 휴가지에서 즐기는 커피를 떠오르게 하는 
스타벅스 음료의 베스트 x 베스트 조합인
돌체 콜드 브루를 만나보세요! ",product_cold_brew,알레르기 유발요인 : 우유,265,9,8,12,0,130,29,155,25,29
4,리저브 나이트로,Reserve Nitro,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002407]_20210225095106747.jpg,"나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.
",product_cold_brew,,5,0,0,0,0,0,0,190,0,0
5,리저브 콜드 브루,Reserve Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9200000002093]_20240318144604632.jpg,리저브 커피 마스터의 정성으로 차갑게 추출한 깊고 부드러운 풍미의 커피,product_cold_brew,,5,0,0,0,0,0,0,190,0,0
6,민트 콜드 브루,Mint Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004312]_20221005145029298.jpg,"상쾌한 민트향 시럽과 잘게 갈린 얼음이 
어우러져 시원함이 강렬하게 느껴지는 리저브만의
콜드 브루 음료",product_cold_brew,,100,0,0,0,0,0,23,415,0,24
7,바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000487]_20210430112319174.jpg,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,product_cold_brew,알레르기 유발요인 : 우유,125,6,3,8,0,58,11,155,10,11
8,시그니처 더 블랙 콜드 브루,Signature The Black Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000003661]_20230721170207195.jpg,"콜드 브루 전용 원두를 차가운 물로 매장에서 직접 
추출하여 부드럽고 진한 풍미의 콜드브루를 
언제 어디서나 편하게 즐겨보세요 (전용 보틀 /500ml)",product_cold_brew,,25,0,0,0,0,50,0,680,0,0
9,여수 윤슬 헤이즐넛 콜드브루,Yeosu Shining Hazelnut Cold Brew,https://image.istarbucks.co.kr/upload/store/skuimg/2023/08/[9200000004750]_20230801101409085.jpg,"햇빛이나 달빛에 비치어 반짝이는 잔물결이라는
""윤슬""을 형상화한 헤이즐넛 콜드브루",product_cold_brew,알레르기 유발요인 : 우유,245,9,5,12,0,85,27,53,15,28
